Source,Lake,Treatment,Transplant,Cage,Species,mSize,gr_rate,dRate,Year,Rep
Bob Kidd,Bob Kidd,Common,Local,1,ENEX,0.562079795,0.008231876,0.046209812,2020,1
Bob Kidd,Bob Kidd,Common,Local,2,ENEX,0.567102798,0.008824994,0.088117056,2020,2
Bob Kidd,Bob Kidd,Common,Local,3,ENEX,0.533942976,0.004808224,0.03045056,2020,3
Bob Kidd,Bob Kidd,Common,Local,4,ENEX,0.575683617,0.00982617,0.066886807,2020,4
Bob Kidd,Bob Kidd,Common,Local,5,ENEX,0.59721182,0.012273745,0.046209812,2020,5
Bob Kidd,Bob Kidd,Common,Local,6,ENTR,0.546267589,0.002586295,0.055749868,2020,6
Bob Kidd,Bob Kidd,Common,Local,7,ENTR,0.560078175,0.004250791,0.088117056,2020,7
Bob Kidd,Bob Kidd,Common,Local,8,ENTR,0.555942152,0.003756649,0.050809337,2020,8
Bob Kidd,Bob Kidd,Common,Local,9,ENTR,0.54557208,0.002501361,0.050809337,2020,9
Bob Kidd,Bob Kidd,Common,Local,10,ENTR,0.565272592,0.004866238,0.073240819,2020,10
Bob Kidd,Bob Kidd,Rare,Local,6,ENTR,0.548550703,0.002864347,0.014876237,2020,6
Bob Kidd,Bob Kidd,Rare,Local,7,ENTR,0.557106139,0.003896084,0.014876237,2020,7
Bob Kidd,Bob Kidd,Rare,Local,8,ENTR,0.596067897,0.008402671,0.007024034,2020,8
Bob Kidd,Bob Kidd,Rare,Local,9,ENTR,0.545509623,0.002493729,0.014876237,2020,9
Bob Kidd,Bob Kidd,Rare,Local,10,ENTR,0.58240761,0.00685707,0.046209812,2020,10
Bob Kidd,Bob Kidd,Rare,Local,1,ENEX,0.604925629,0.013129323,0.007024034,2020,1
Bob Kidd,Bob Kidd,Rare,Local,2,ENEX,0.538221893,0.005340349,0.02377833,2020,2
Bob Kidd,Bob Kidd,Rare,Local,3,ENEX,0.534247825,0.004846276,0.007024034,2020,3
Bob Kidd,Bob Kidd,Rare,Local,4,ENEX,0.513059883,0.002148459,0.046209812,2020,4
Bob Kidd,Bob Kidd,Rare,Local,5,ENEX,0.557249973,0.007656549,0,2020,5
Bob Kidd,Fayetteville,Common,Non-Local,2,ENEX,2.539339636,-0.001109758,0.029048571,2021,12
Bob Kidd,Fayetteville,Common,Non-Local,3,ENEX,2.946033,0.003191363,0.020068666,2021,13
Bob Kidd,Fayetteville,Common,Non-Local,4,ENEX,2.823569533,0.001962088,0.00527875,2021,14
Bob Kidd,Fayetteville,Common,Non-Local,5,ENEX,2.9265892,0.00299964,0.01322451,2021,15
Bob Kidd,Fayetteville,Rare,Non-Local,6,ENEX,2.806716632,0.00178876,0.066666667,2021,16
Bob Kidd,Fayetteville,Rare,Non-Local,7,ENEX,2.645978,8.13E-05,0,2021,17
Bob Kidd,Fayetteville,Rare,Non-Local,8,ENEX,2.844247929,0.002173352,0,2021,18
Bob Kidd,Fayetteville,Rare,Non-Local,9,ENEX,2.469457727,-0.001917705,0,2021,19
Bob Kidd,Fayetteville,Rare,Non-Local,10,ENEX,2.435499545,-0.002318608,0,2021,20
Bob Kidd,Fayetteville,Rare,Non-Local,1,ENTR,2.514552,-0.003188992,0.066666667,2021,11
Bob Kidd,Fayetteville,Rare,Non-Local,2,ENTR,2.758712,-0.000505942,0.020068666,2021,12
Bob Kidd,Fayetteville,Rare,Non-Local,3,ENTR,2.7353304,-0.00075238,0.034858583,2021,13
Bob Kidd,Fayetteville,Rare,Non-Local,4,ENTR,2.724208667,-0.000870342,0.003050499,2021,14
Bob Kidd,Fayetteville,Rare,Non-Local,5,ENTR,2.712315111,-0.000997024,0.003050499,2021,15
Bob Kidd,Fayetteville,Common,Non-Local,6,ENTR,2.658658889,-0.001575525,0.078406084,2021,16
Bob Kidd,Fayetteville,Common,Non-Local,7,ENTR,2.932672,0.001264533,0.042134881,2021,17
Bob Kidd,Fayetteville,Common,Non-Local,8,ENTR,2.802379286,-5.12E-05,0.022066215,2021,18
Bob Kidd,Fayetteville,Common,Non-Local,9,ENTR,2.853011929,0.000467206,0.038268751,2021,19
Bob Kidd,Fayetteville,Common,Non-Local,10,ENTR,2.904140125,0.000981471,0.042134881,2021,20
Fayetteville,Fayetteville,Common,Local,11,ENEX,0.62645444,0.008453985,0.088117056,2020,31
Fayetteville,Fayetteville,Common,Local,12,ENEX,0.603796984,0.005998116,0.088117056,2020,32
Fayetteville,Fayetteville,Common,Local,13,ENEX,0.538759301,-0.001599825,0.037865603,2020,33
Fayetteville,Fayetteville,Common,Local,14,ENEX,0.53811365,-0.001679766,0.046209812,2020,34
Fayetteville,Fayetteville,Common,Local,15,ENEX,0.55524232,0.000409223,0.037865603,2020,35
Fayetteville,Fayetteville,Common,Local,16,ENTR,0.571974581,0.00497937,0.107295861,2020,36
Fayetteville,Fayetteville,Common,Local,17,ENTR,0.536833082,0.000752214,0.080264854,2020,37
Fayetteville,Fayetteville,Common,Local,18,ENTR,0.566760803,0.00436889,0.119450631,2020,38
Fayetteville,Fayetteville,Common,Local,19,ENTR,0.588531439,0.006881757,0.073240819,2020,39
Fayetteville,Fayetteville,Common,Local,20,ENTR,0.500028303,-0.00398262,0.073240819,2020,40
Fayetteville,Fayetteville,Rare,Local,16,ENTR,0.570509382,0.004808375,0.02377833,2020,36
Fayetteville,Fayetteville,Rare,Local,17,ENTR,0.534260745,0.000432001,0.02377833,2020,37
Fayetteville,Fayetteville,Rare,Local,18,ENTR,0.601383504,0.008321923,0.153505673,2020,38
Fayetteville,Fayetteville,Rare,Local,19,ENTR,0.538792005,0.000995041,0.014876237,2020,39
Fayetteville,Fayetteville,Rare,Local,20,ENTR,0.597021881,0.007836651,0.02377833,2020,40
Fayetteville,Fayetteville,Rare,Local,11,ENEX,0.526709702,-0.003107782,0.034055042,2020,31
Fayetteville,Fayetteville,Rare,Local,12,ENEX,0.62598297,0.008403792,0.007024034,2020,32
Fayetteville,Fayetteville,Rare,Local,13,ENEX,0.59874366,0.005437819,0.014876237,2020,33
Fayetteville,Fayetteville,Rare,Local,14,ENEX,0.576826665,0.002951702,0.046209812,2020,34
Fayetteville,Fayetteville,Rare,Local,15,ENEX,0.522413955,-0.003653733,0.007024034,2020,35
Fayetteville,Lincoln,Common,Non-Local,1,ENEX,2.732939533,0.002875855,0.020068666,2021,41
Fayetteville,Lincoln,Common,Non-Local,2,ENEX,2.801713,0.00359543,0.020068666,2021,42
Fayetteville,Lincoln,Common,Non-Local,3,ENEX,2.849737067,0.004087506,0.022066215,2021,43
Fayetteville,Lincoln,Common,Non-Local,4,ENEX,2.795720857,0.00353344,0.034858583,2021,44
Fayetteville,Lincoln,Common,Non-Local,5,ENEX,2.762200333,0.003184198,0.018200085,2021,45
Fayetteville,Lincoln,Rare,Non-Local,6,ENEX,2.735349813,0.002901378,0.046598,2021,46
Fayetteville,Lincoln,Rare,Non-Local,7,ENEX,2.8459745,0.004049253,0.003050499,2021,47
Fayetteville,Lincoln,Rare,Non-Local,8,ENEX,2.577223667,0.001177327,0.003050499,2021,48
Fayetteville,Lincoln,Rare,Non-Local,9,ENEX,2.633111,0.001798464,0.010326797,2021,49
Fayetteville,Lincoln,Rare,Non-Local,10,ENEX,2.864212143,0.004234199,0.034858583,2021,50
Fayetteville,Lincoln,Rare,Non-Local,1,ENTR,2.579728,-0.000828382,0.006460668,2021,41
Fayetteville,Lincoln,Rare,Non-Local,2,ENTR,2.648460857,-6.71E-05,0,2021,42
Fayetteville,Lincoln,Rare,Non-Local,3,ENTR,2.6347811,-0.000217007,0.010326797,2021,43
Fayetteville,Lincoln,Rare,Non-Local,4,ENTR,2.718154143,0.000684962,0.014789917,2021,44
Fayetteville,Lincoln,Rare,Non-Local,5,ENTR,3.070391167,0.004212937,0,2021,45
Fayetteville,Lincoln,Common,Non-Local,7,ENTR,2.8248122,0.001799329,0.022066215,2021,47
Fayetteville,Lincoln,Common,Non-Local,8,ENTR,2.760091,0.00112825,0.026529334,2021,48
Fayetteville,Lincoln,Common,Non-Local,9,ENTR,2.735679167,0.000871034,0.01322451,2021,49
Fayetteville,Lincoln,Common,Non-Local,10,ENTR,2.690608947,0.000390062,0.042134881,2021,50
Lincoln,Lincoln,Common,Local,21,ENEX,0.65499187,0.005926612,0.050809337,2020,51
Lincoln,Lincoln,Common,Local,22,ENEX,0.657267557,0.006157835,0.041907244,2020,52
Lincoln,Lincoln,Common,Local,23,ENEX,0.62680301,0.002993911,0.02377833,2020,53
Lincoln,Lincoln,Common,Local,24,ENEX,0.590945514,-0.000933322,0.02377833,2020,54
Lincoln,Lincoln,Common,Local,25,ENEX,0.648580725,0.005270855,0.014876237,2020,55
Lincoln,Lincoln,Common,Local,26,ENTR,0.662917839,0.008461827,0.027031007,2020,56
Lincoln,Lincoln,Common,Local,27,ENTR,0.583623227,-3.12E-05,0.027031007,2020,57
Lincoln,Lincoln,Common,Local,28,ENTR,0.621091367,0.004116969,0.061086049,2020,58
Lincoln,Lincoln,Common,Local,29,ENTR,0.611574399,0.00308753,0.03045056,2020,59
Lincoln,Lincoln,Common,Local,30,ENTR,0.616283899,0.003598938,0.061086049,2020,60
Lincoln,Lincoln,Rare,Local,26,ENTR,0.616633022,0.003636694,0,2020,56
Lincoln,Lincoln,Rare,Local,27,ENTR,0.644655084,0.006599451,0,2020,57
Lincoln,Lincoln,Rare,Local,28,ENTR,0.586411849,0.00028658,0.007024034,2020,58
Lincoln,Lincoln,Rare,Local,29,ENTR,0.612082158,0.003142857,0.007024034,2020,59
Lincoln,Lincoln,Rare,Local,30,ENTR,0.623210892,0.004344088,0,2020,60
Lincoln,Lincoln,Rare,Local,21,ENEX,0.654004578,0.005826047,0.02377833,2020,51
Lincoln,Lincoln,Rare,Local,22,ENEX,0.610205956,0.001204859,0.02377833,2020,52
Lincoln,Lincoln,Rare,Local,23,ENEX,0.655219358,0.005949762,0,2020,53
Lincoln,Lincoln,Rare,Local,24,ENEX,0.66091022,0.00652629,0.014876237,2020,54
Lincoln,Lincoln,Rare,Local,25,ENEX,0.659842214,0.006418472,0.007024034,2020,55
Lincoln,Bob Kidd,Common,Non-Local,1,ENEX,2.490054786,0.001662391,0.022066215,2021,61
Lincoln,Bob Kidd,Common,Non-Local,2,ENEX,2.363512,0.000152319,0.018200085,2021,62
Lincoln,Bob Kidd,Common,Non-Local,3,ENEX,2.719388938,0.00421322,0.026529334,2021,63
Lincoln,Bob Kidd,Common,Non-Local,4,ENEX,2.574563833,0.002628709,0.007692895,2021,64
Lincoln,Bob Kidd,Common,Non-Local,5,ENEX,2.636120043,0.00331281,0.02421186,2021,65
Lincoln,Bob Kidd,Rare,Non-Local,6,ENEX,2.442627923,0.001105619,0.026529334,2021,66
Lincoln,Bob Kidd,Rare,Non-Local,7,ENEX,2.666974,0.003649717,0.010326797,2021,67
Lincoln,Bob Kidd,Rare,Non-Local,8,ENEX,2.872565714,0.005799796,0.026529334,2021,68
Lincoln,Bob Kidd,Rare,Non-Local,9,ENEX,2.6779155,0.003768256,0.010326797,2021,69
Lincoln,Bob Kidd,Rare,Non-Local,10,ENEX,2.431906429,0.000978255,0.046598,2021,70
Lincoln,Bob Kidd,Rare,Non-Local,1,ENTR,2.666326429,0.001156077,0.010326797,2021,61
Lincoln,Bob Kidd,Rare,Non-Local,2,ENTR,2.141307667,-0.005192873,0.010326797,2021,62
Lincoln,Bob Kidd,Rare,Non-Local,3,ENTR,2.696823143,0.001485353,0.010326797,2021,63
Lincoln,Bob Kidd,Rare,Non-Local,4,ENTR,2.631661286,0.000777188,0.003050499,2021,64
Lincoln,Bob Kidd,Rare,Non-Local,5,ENTR,2.341398111,-0.00260646,0.066666667,2021,65
Lincoln,Bob Kidd,Common,Non-Local,6,ENTR,2.635231,0.000816435,0.058337418,2021,66
Lincoln,Bob Kidd,Common,Non-Local,7,ENTR,2.65358675,0.001017408,0.01322451,2021,67
Lincoln,Bob Kidd,Common,Non-Local,8,ENTR,2.852080105,0.00310597,0.05187675,2021,68
Lincoln,Bob Kidd,Common,Non-Local,9,ENTR,2.7396112,0.001941118,0.034858583,2021,69
Lincoln,Bob Kidd,Common,Non-Local,10,ENTR,2.467561889,-0.001086941,0.066666667,2021,70